Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;Sachsen;Bad Muskau;Clara-Zetkin-Straße 3;54809.7;HMF;03;0.2;HK;70;1.5;55;-15;480815.2245;5710343.2
Deutschland;Sachsen;Bad Muskau;Berliner Straße 22;520000;HMF;03;0.2;HK;70;1.5;55;-15;480524.8854;5710855.408
Deutschland;Sachsen;Bad Muskau;Berliner Straße 23;88321.8;HMF;03;0.2;HK;70;1.5;55;-15;480489.3849;5710801.054
Deutschland;Sachsen;Bad Muskau;Berliner Straße 21;46631;HMF;03;0.2;HK;70;1.5;55;-15;480493.0788;5710793.766
Deutschland;Sachsen;Bad Muskau;Berliner Straße 19;54349;HMF;03;0.2;HK;70;1.5;55;-15;480501.9802;5710781.943
Deutschland;Sachsen;Bad Muskau;Berliner Straße 17;47506.5;HMF;03;0.2;HK;70;1.5;55;-15;480505.2927;5710769.714
Deutschland;Sachsen;Bad Muskau;Berliner Straße 15;33898;HMF;03;0.2;HK;70;1.5;55;-15;480507.5258;5710761.931
Deutschland;Sachsen;Bad Muskau;Berliner Straße 13;36176;HMF;03;0.2;HK;70;1.5;55;-15;480522.1487;5710752.449
Deutschland;Sachsen;Bad Muskau;Berliner Straße 11;39006.5;HMF;03;0.2;HK;70;1.5;55;-15;480530.9692;5710738.069
Deutschland;Sachsen;Bad Muskau;Berliner Straße 9;35037.85;HMF;03;0.2;HK;70;1.5;55;-15;480539.4558;5710723.4
Deutschland;Sachsen;Bad Muskau;Berliner Straße 7;81237.9;HMF;03;0.2;HK;70;1.5;55;-15;480549.4893;5710708.848
Deutschland;Sachsen;Bad Muskau;Mittelstraße 16;17833;HMF;03;0.2;HK;70;1.5;55;-15;480562.2395;5710806.497
Deutschland;Sachsen;Bad Muskau;Mittelstraße 12;33728;HMF;03;0.2;HK;70;1.5;55;-15;480586.5397;5710789.666
Deutschland;Sachsen;Bad Muskau;Mittelstraße 10;36150.5;HMF;03;0.2;HK;70;1.5;55;-15;480575.0579;5710782.87
Deutschland;Sachsen;Bad Muskau;Mittelstraße 8;32912;HMF;03;0.2;HK;70;1.5;55;-15;480563.5805;5710776.063
Deutschland;Sachsen;Bad Muskau;Mittelstraße 6;35678.75;HMF;03;0.2;HK;70;1.5;55;-15;480608.2714;5710752.642
Deutschland;Sachsen;Bad Muskau;Mittelstraße 4;33915;HMF;03;0.2;HK;70;1.5;55;-15;480596.866;5710745.724
Deutschland;Sachsen;Bad Muskau;Mittelstraße 2;35785;HMF;03;0.2;HK;70;1.5;55;-15;480585.4607;5710738.811
Deutschland;Sachsen;Bad Muskau;Markt 11;31875;HMF;03;0.2;HK;70;1.5;55;-15;480608.5656;5710702.622
Deutschland;Sachsen;Bad Muskau;Markt 13;37060;HMF;03;0.2;HK;70;1.5;55;-15;480622.0455;5710710.739
Deutschland;Sachsen;Bad Muskau;Markt 15;34272;HMF;03;0.2;HK;70;1.5;55;-15;480635.5253;5710718.851
Deutschland;Sachsen;Bad Muskau;Markt 21;67009.75;GBD;03;0.2;HK;70;1.5;55;-15;480664.1678;5710695.442
Deutschland;Sachsen;Bad Muskau;Schlossstraße 8;309081.25;GBH;03;0.2;HK;70;1.5;55;-15;480650.4062;5710642.072
Deutschland;Sachsen;Bad Muskau;Schlossstraße 2;258732.35;GHD;03;0.2;HK;70;1.5;55;-15;480783.0871;5710759.784
Deutschland;Sachsen;Bad Muskau;Schlossstraße 4;43928;GHD;03;0.2;HK;70;1.5;55;-15;480756.8895;5710681.805
Deutschland;Sachsen;Bad Muskau;Schlossstraße 9;272000;GHD;03;0.2;HK;70;1.5;55;-15;480841.9761;5710848.578
Deutschland;Sachsen;Bad Muskau;Kirchstraße 34;159705.65;GHD;03;0.2;HK;70;1.5;55;-15;480621.809;5710629.942
Deutschland;Sachsen;Bad Muskau;Kirchstraße 43;15770.9;GHD;03;0.2;HK;70;1.5;55;-15;480642.072;5710533.619
Deutschland;Sachsen;Bad Muskau;Kirchstraße 18;73321;HMF;03;0.2;HK;70;1.5;55;-15;480686.715;5710529.278
Deutschland;Sachsen;Bad Muskau;Kirchstraße 16;30813.35;HMF;03;0.2;HK;70;1.5;55;-15;480695.4421;5710515.009
Deutschland;Sachsen;Bad Muskau;Kirchstraße 14;29404.05;HMF;03;0.2;HK;70;1.5;55;-15;480704.1537;5710502.136
Deutschland;Sachsen;Bad Muskau;Kirchstraße 12;33532.5;HMF;03;0.2;HK;70;1.5;55;-15;480714.1487;5710490.031
Deutschland;Sachsen;Bad Muskau;Kirchstraße 8;153742.05;HMF;03;0.2;HK;70;1.5;55;-15;480766.9937;5710412.364
Deutschland;Sachsen;Bad Muskau;Kirchplatz 1;35343;HMF;03;0.2;HK;70;1.5;55;-15;480735.8281;5710493.358
Deutschland;Sachsen;Bad Muskau;Kirchplatz 3;33082;HMF;03;0.2;HK;70;1.5;55;-15;480750.8176;5710503.432
Deutschland;Sachsen;Bad Muskau;Kirchplatz 5;14837.6;GBD;03;0.2;HK;70;1.5;55;-15;480803.9951;5710513.068
Deutschland;Sachsen;Bad Muskau;Kirchplatz 7;28612.7;HEF;03;0.2;HK;70;1.5;55;-15;480805.8334;5710500.794
Deutschland;Sachsen;Bad Muskau;Kirchplatz 9;230969.65;GBD;03;0.2;HK;70;1.5;55;-15;480813.6605;5710483.17
Deutschland;Sachsen;Bad Muskau;Kirchplatz 4;56204.55;HMF;03;0.2;HK;70;1.5;55;-15;480777.2652;5710431.982
Deutschland;Sachsen;Bad Muskau;Kirchplatz 6;35611.6;HMF;03;0.2;HK;70;1.5;55;-15;480790.7437;5710440.539
Deutschland;Sachsen;Bad Muskau;Parkstraße 2;126202.05;HMF;03;0.2;HK;70;1.5;55;-15;480670.7977;5710560.59
Deutschland;Sachsen;Bad Muskau;Parkstraße 20;45603.35;HMF;03;0.2;HK;70;1.5;55;-15;480807.7372;5710416.752
