Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;UTM_X;UTM_Y
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 11;31770;GHD;0.19;HK;70;1.5;55;480919.20666899474;5710047.447046138
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 13;38054;HMF;0.39;HK;70;1.5;55;480918.1150470222;5710060.446670689
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 15;37002;HMF;0.33;FBH;35;0.4;25;480910.1995481451;5710080.500777014
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 17;40547;HMF;0.1;HK;70;1.5;55;480899.198177206;5710092.759190091
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 19;38262;HMF;0.31;NTHK;50;0.8;35;480893.5315223732;5710103.440521476
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 21;40442;HMF;0.18;HK;70;1.5;55;480885.9865286913;5710105.526422396
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 2;33884;GHD;0.25;HK;70;1.5;55;480942.90903529373;5710034.829559118
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 4;46656;HMF;0.22;FBH;35;0.4;25;480940.5163233377;5710048.467992555
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 6;31631;HMF;0.23;HK;70;1.5;55;480936.2765242425;5710062.130048887
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 8;36819;HMF;0.17;NTHK;50;0.8;35;480929.60745918343;5710080.511210829
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 10;47361;HMF;0.06;HK;70;1.5;55;480919.5284385305;5710099.7838054
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 12;36331;GHD;0.01;HK;70;1.5;55;480910.1404657343;5710111.062993748
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 14;41887;HMF;0.07;HK;70;1.5;55;480901.1447968431;5710125.543727249
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 16;46721;HMF;0.32;HK;70;1.5;55;480885.89506276645;5710134.281512914
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 18;40713;HMF;0.39;FBH;35;0.4;25;480871.37479258433;5710137.856199242
Deutschland;Sachsen;Bad Muskau;Schmelzstraße 20;35821;GHD;0.26;NTHK;50;0.8;35;480857.4302078485;5710152.8839441985
