Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
;;;;;;;;;;;;;498847.02968065767;5667101.714260512
;;;;;;;;;;;;;497902.80616706517;5666025.241040474
;;;;;;;;;;;;;498791.36102793046;5666926.722851678
;;;;;;;;;;;;;498689.59373313724;5666914.977962382
;;;;;;;;;;;;;498325.2113606857;5666929.135683966
;;;;;;;;;;;;;497981.2304977589;5666202.309677657
;;;;;;;;;;;;;498758.6030878364;5666969.034560737
;;;;;;;;;;;;;499079.7632237644;5666074.093998618
;;;;;;;;;;;;;498060.7464150542;5666493.025594806
;;;;;;;;;;;;;497914.51324663643;5666611.093869163
;;;;;;;;;;;;;498024.0656187738;5666894.1070946995
;;;;;;;;;;;;;499240.8357724657;5666908.248369506
;;;;;;;;;;;;;498244.5739062955;5666826.252953059
;;;;;;;;;;;;;498033.9559176614;5666225.278102045
;;;;;;;;;;;;;498609.9895593455;5666221.320455448
;;;;;;;;;;;;;497913.7124195094;5666441.7178473035
;;;;;;;;;;;;;498654.4140879482;5667249.565160939
;;;;;;;;;;;;;498613.8287528641;5667054.859500259
;;;;;;;;;;;;;497863.0895574016;5666812.320345937
;;;;;;;;;;;;;499259.9852589851;5666744.473148613
;;;;;;;;;;;;;497844.2724703035;5666735.152568486
;;;;;;;;;;;;;499111.7484522943;5666276.239459873
;;;;;;;;;;;;;497900.53138000646;5667119.429205891
;;;;;;;;;;;;;499105.7115586584;5666941.079873097
;;;;;;;;;;;;;498494.7373821754;5667318.68832513
;;;;;;;;;;;;;497866.1192230368;5667124.5403474085
;;;;;;;;;;;;;497833.6575840753;5666446.69454675
;;;;;;;;;;;;;498005.0374139229;5666296.775453107
;;;;;;;;;;;;;498811.6661215338;5666842.807417223
;;;;;;;;;;;;;498118.26701773296;5666193.932734972
;;;;;;;;;;;;;498956.98923861556;5666685.738327254
;;;;;;;;;;;;;498640.7670455124;5667243.069126053
;;;;;;;;;;;;;498082.0792356715;5667247.240610686
;;;;;;;;;;;;;499029.4019687899;5666513.3934955755
;;;;;;;;;;;;;498778.4995608737;5667143.736518156
;;;;;;;;;;;;;498909.7404337687;5666420.468925948
;;;;;;;;;;;;;498978.5594813564;5666623.676803844
;;;;;;;;;;;;;499109.84268199827;5667182.2447052505
;;;;;;;;;;;;;497914.3895843923;5666724.749238088
;;;;;;;;;;;;;498095.7716342619;5666699.246623639
;;;;;;;;;;;;;498461.25815535913;5665947.721080874
;;;;;;;;;;;;;498125.77239405515;5667325.434182699
;;;;;;;;;;;;;497921.92716452567;5666200.593263688
;;;;;;;;;;;;;499013.823212522;5667318.8925693305
;;;;;;;;;;;;;498854.1358008491;5666588.220766789
;;;;;;;;;;;;;497865.86587197986;5666144.951804551
;;;;;;;;;;;;;497874.403698809;5667339.889118471
;;;;;;;;;;;;;498315.8134548229;5667171.554598323
;;;;;;;;;;;;;499030.61712621537;5667031.627865977
;;;;;;;;;;;;;498916.6911102812;5666698.856948626
;;;;;;;;;;;;;498325.926251611;5666359.418628613
;;;;;;;;;;;;;497852.11923655553;5666641.75668092
;;;;;;;;;;;;;498111.0713374183;5667026.275765894
;;;;;;;;;;;;;498215.1786700555;5667080.663417365
;;;;;;;;;;;;;497834.17169702123;5666094.298431185
;;;;;;;;;;;;;498580.22228196356;5667203.8709713
;;;;;;;;;;;;;497896.03006433963;5666079.60567008
;;;;;;;;;;;;;499151.8499162414;5666702.101753908
;;;;;;;;;;;;;498522.4981222555;5667344.628398607
;;;;;;;;;;;;;498640.23676998174;5666334.579627454
;;;;;;;;;;;;;497924.48978348926;5666306.631252123
;;;;;;;;;;;;;498577.5227951281;5666270.306624903
;;;;;;;;;;;;;498955.4858459096;5667269.867192586
;;;;;;;;;;;;;499235.7465223064;5667202.7879698435
;;;;;;;;;;;;;498359.2212524037;5666527.6011018455
;;;;;;;;;;;;;498779.09971636825;5666736.067432244
;;;;;;;;;;;;;498829.38693677954;5667174.462350894
;;;;;;;;;;;;;498567.5815990921;5666184.818958323
;;;;;;;;;;;;;499042.28560815356;5666177.174223326
;;;;;;;;;;;;;497980.3142751873;5666047.806081336
;;;;;;;;;;;;;498433.44615702867;5666357.717648396
;;;;;;;;;;;;;499139.8354368361;5666154.854997763
;;;;;;;;;;;;;499312.0873866717;5666495.949361935
;;;;;;;;;;;;;499054.37804407906;5666232.583513755
;;;;;;;;;;;;;499317.01312699425;5666590.28028237
;;;;;;;;;;;;;498365.6558129608;5666539.750599992
;;;;;;;;;;;;;498475.4656686416;5667255.223921008
;;;;;;;;;;;;;498464.73840864433;5666495.888811253
;;;;;;;;;;;;;498739.49395831925;5665909.517398471
;;;;;;;;;;;;;498791.8654965679;5665916.3845485775
;;;;;;;;;;;;;497861.4026591951;5667055.000696242
;;;;;;;;;;;;;499027.13549934997;5666075.598648431
;;;;;;;;;;;;;498031.04274361767;5667313.883366522
;;;;;;;;;;;;;499258.08860739577;5667326.624930877
;;;;;;;;;;;;;499276.149899962;5666672.71258037
;;;;;;;;;;;;;499059.4662831202;5666500.966986316
;;;;;;;;;;;;;499057.4773329403;5665963.51675653
;;;;;;;;;;;;;498767.7186513458;5666400.5647439975
;;;;;;;;;;;;;497940.5520262879;5666442.473974297
;;;;;;;;;;;;;499005.4571608271;5667332.1053443495
;;;;;;;;;;;;;498755.71796374966;5667030.572566882
;;;;;;;;;;;;;499032.7367917044;5666268.452755647
;;;;;;;;;;;;;498287.06136833143;5667359.348153634
;;;;;;;;;;;;;499193.8953561856;5666392.143839661
;;;;;;;;;;;;;499079.9372107129;5666658.6229838375
;;;;;;;;;;;;;497950.5904620665;5667134.127845879
;;;;;;;;;;;;;498779.03174948925;5666608.622071775
;;;;;;;;;;;;;498141.6114696729;5666996.443524857
;;;;;;;;;;;;;498401.8509879361;5666216.84957346
;;;;;;;;;;;;;498780.66008368524;5666300.06353389
;;;;;;;;;;;;;498485.7551528915;5666965.081049736
;;;;;;;;;;;;;498306.562085902;5666441.296978814
;;;;;;;;;;;;;499092.9158699467;5665888.745426009
;;;;;;;;;;;;;498247.88459168415;5666243.059898021
;;;;;;;;;;;;;499026.6812928649;5666272.374571779
;;;;;;;;;;;;;498558.89216633904;5666064.325809716
;;;;;;;;;;;;;498135.6895337376;5667152.885307599
;;;;;;;;;;;;;497933.93589768425;5666432.195170057
;;;;;;;;;;;;;498185.96711619815;5666464.681857264
;;;;;;;;;;;;;499072.6380260312;5665974.68043247
;;;;;;;;;;;;;498074.0637409466;5667252.86724868
;;;;;;;;;;;;;499009.9436258022;5666662.719306088
;;;;;;;;;;;;;498976.23136617616;5667221.537646827
;;;;;;;;;;;;;498980.7300173207;5665984.668784552
;;;;;;;;;;;;;499250.2016192057;5667187.00676936
;;;;;;;;;;;;;498905.90977352846;5667236.971705313
;;;;;;;;;;;;;498285.40064424294;5666705.314743875
;;;;;;;;;;;;;498875.570924763;5666373.65270905
;;;;;;;;;;;;;498462.0210521165;5666274.455334026
;;;;;;;;;;;;;498189.8730943124;5666984.057485194
;;;;;;;;;;;;;498097.4749265019;5666589.523705214
;;;;;;;;;;;;;498593.98335554503;5665911.520284746
;;;;;;;;;;;;;498314.47360513563;5667316.393316988
;;;;;;;;;;;;;498812.18873253313;5667220.540259596
;;;;;;;;;;;;;497972.95870455937;5666132.405119356
;;;;;;;;;;;;;498246.8011521316;5666422.437826986
;;;;;;;;;;;;;498527.6719108997;5666370.040932474
;;;;;;;;;;;;;498305.4209466137;5667268.713934975
;;;;;;;;;;;;;498096.0620913028;5665979.80905454
;;;;;;;;;;;;;498031.4791144003;5667256.355413332
;;;;;;;;;;;;;498431.3889350625;5666320.028343475
;;;;;;;;;;;;;499179.9272139807;5666563.19608773
;;;;;;;;;;;;;498954.9759213476;5666534.464596095
;;;;;;;;;;;;;498163.95126272045;5667175.849739924
;;;;;;;;;;;;;498892.68863058113;5666333.420071443
;;;;;;;;;;;;;498235.6020239606;5666288.860777687
;;;;;;;;;;;;;497941.8908629302;5666769.37726922
;;;;;;;;;;;;;498601.780572711;5667147.642496098
;;;;;;;;;;;;;499187.19835283497;5667180.706025664
;;;;;;;;;;;;;498040.5473061185;5666912.706887126
;;;;;;;;;;;;;499133.2485929849;5666004.972159642
;;;;;;;;;;;;;498404.93488908623;5666513.950409661
;;;;;;;;;;;;;498165.56098866195;5666216.488296906
;;;;;;;;;;;;;498972.9796804875;5666112.080147103
;;;;;;;;;;;;;498587.712353332;5667162.127282476
;;;;;;;;;;;;;498103.55185224226;5666048.895081184
;;;;;;;;;;;;;499203.0293146957;5667193.376853809
;;;;;;;;;;;;;499290.201210135;5666285.461162627
;;;;;;;;;;;;;498722.52106653363;5666331.505613806
;;;;;;;;;;;;;499012.80545203795;5666897.0449337745
;;;;;;;;;;;;;497829.13802686485;5666015.541297975
;;;;;;;;;;;;;498342.00604378537;5666348.97588037
;;;;;;;;;;;;;498647.32004198123;5667098.062066192
;;;;;;;;;;;;;498260.3911398873;5666731.074618698
;;;;;;;;;;;;;498601.8372584272;5666733.759534944
;;;;;;;;;;;;;498816.47112197254;5666999.798555802
;;;;;;;;;;;;;498454.74232626345;5666786.565482486
;;;;;;;;;;;;;499243.9938423122;5666837.961236687
;;;;;;;;;;;;;498796.4061179206;5666429.867473224
;;;;;;;;;;;;;498958.5473724072;5667207.967928925
;;;;;;;;;;;;;498531.1812299162;5666356.981690279
;;;;;;;;;;;;;499046.4927533954;5666043.934581599
;;;;;;;;;;;;;498028.1999410917;5666045.207068385
;;;;;;;;;;;;;498902.33583901136;5666674.283886749
;;;;;;;;;;;;;499290.51621884195;5667285.140927249
;;;;;;;;;;;;;499099.28986156086;5667113.726699071
;;;;;;;;;;;;;497974.866332824;5666922.13437977
;;;;;;;;;;;;;499192.2607176194;5666222.983538962
;;;;;;;;;;;;;498126.8427839256;5665938.128160587
;;;;;;;;;;;;;499148.78274271404;5665985.247968848
;;;;;;;;;;;;;498608.875130392;5666597.877906143
;;;;;;;;;;;;;497900.47206908086;5667349.40421502
;;;;;;;;;;;;;497914.73320369236;5666432.731451112
;;;;;;;;;;;;;499092.34027003084;5666323.163278251
;;;;;;;;;;;;;498442.6811440428;5665929.270844807
;;;;;;;;;;;;;498375.1361000986;5666917.268343905
;;;;;;;;;;;;;498493.6991005909;5667319.253761438
;;;;;;;;;;;;;499086.0782944694;5665951.772993517
;;;;;;;;;;;;;498511.47034972534;5666092.584774986
;;;;;;;;;;;;;498422.7284173241;5667286.878953621
;;;;;;;;;;;;;499011.1982023619;5666505.689200312
;;;;;;;;;;;;;499181.7213985173;5665905.805605886
;;;;;;;;;;;;;498739.1782774437;5666853.095630883
;;;;;;;;;;;;;499145.53371347487;5667105.274576262
