Building;Latitude;Longitude;Roof Area (m²);Slope (°);Orientation (°);Yield (MWh);Max Power (kW)
Emmerichstraße 69;51.14702150347249;14.992583887768792;10.592000000396919;0.0;0.0;1.86;1.57
Emmerichstraße 71;51.146902431675606;14.993035491666392;27.10562198010841;61.40624170767624;92.94936528767653;3.08;3.34
Emmerichstraße 71;51.146902431675606;14.993035491666392;26.38512050800784;56.18648452082129;-84.40213451173042;4.36;15.18
Emmerichstraße 71;51.146902431675606;14.993035491666392;164.4330584936973;0.0;0.0;28.88;24.43
Emmerichstraße 71;51.146902431675606;14.993035491666392;17.513549998342512;0.0;0.0;3.08;2.6
Emmerichstraße 71;51.146902431675606;14.993035491666392;39.08454500035172;0.0;0.0;6.87;5.81
Blumenstraße 41;51.14778043220048;14.992924548889185;110.83171349830124;33.63027528998008;78.71321733235521;16.71;16.2
Blumenstraße 41;51.14778043220048;14.992924548889185;105.28330299325518;33.23032164344829;-100.49819458667106;18.23;49.76
Blumenstraße 41;51.14778043220048;14.992924548889185;10.560008510185462;0.0;-0.0;1.85;1.57
Blumenstraße 41;51.14743834168439;14.992862072717616;237.73961997224188;9.127931939268112;92.94105055762319;40.12;34.54
Blumenstraße 41;51.14743834168439;14.992862072717616;51.19277498571676;0.0;0.0;8.99;7.61
Sohrstraße 16;51.14775959860264;14.991536825919109;114.93158699936964;123.41863299321781;67.3293518885728;5.96;5.93
Sohrstraße 16;51.14775959860264;14.991536825919109;113.44937500007654;28.53568402654822;0.6405472448479463;21.12;19.88
Sohrstraße 16;51.14775959860264;14.991536825919109;13.279588000490378;0.0;-0.0;2.33;1.97
James-von-Moltke-Straße 17;51.14668680408969;14.990760133086658;227.43435000102613;0.0;0.0;39.95;33.79
Emmerichstraße 76;51.14695931446384;14.994107035556748;56.68049700276574;54.00567940950009;94.89134441132762;6.87;7.11
Emmerichstraße 76;51.14695931446384;14.994107035556748;51.76436250418115;53.80851623757178;-84.9195477168551;8.65;29.63
Emmerichstraße 76;51.14695931446384;14.994107035556748;111.95323549655025;0.0;0.0;19.67;16.63
Emmerichstraße 76;51.14695931446384;14.994107035556748;34.62289498584984;0.0;0.0;6.08;5.14
James-von-Moltke-Straße 14;51.14711386204035;14.990700367979942;92.492107944187;30.22439158867019;6.472872214460939;17.03;16.16
James-von-Moltke-Straße 14;51.14711386204035;14.990700367979942;86.24664699857743;30.44403043538878;-174.01125342224876;12.02;14.11
James-von-Moltke-Straße 14;51.14711386204035;14.990700367979942;36.35311999053792;0.0;0.0;6.39;5.4
Blumenstraße 46;51.14788706806824;14.991933927689743;226.9162500009034;0.0;0.0;39.86;33.71
Emmerichstraße 78;51.14697843667486;14.994568184549381;305.7252500054958;0.0;0.0;53.7;45.42
Emmerichstraße 74;51.146927973445834;14.99366989939648;69.08082599659764;59.44383520901681;95.10098371053621;7.94;8.47
Emmerichstraße 74;51.146927973445834;14.99366989939648;49.579902002641404;59.430294720500505;-84.88155098496651;8.02;29.09
Emmerichstraße 74;51.146927973445834;14.99366989939648;124.93302000701433;0.0;0.0;21.95;18.56
Emmerichstraße 68;51.14723146919485;14.992407305480684;284.7332279966991;0.0;0.0;50.02;42.3
Sohrstraße 2;51.14759730483163;14.99194818707311;37.95589499971505;58.606026042355516;-179.52145867924344;3.59;6.6
Sohrstraße 2;51.14759730483163;14.99194818707311;50.97948599909127;58.8459904482694;0.27977196279359307;8.53;8.61
Sohrstraße 2;51.14759730483163;14.99194818707311;100.12338999712539;0.0;0.0;17.59;14.87
Emmerichstraße 68;51.1470720847562;14.99227103698218;62.29064999977158;0.0;0.0;10.94;9.25
Blumenstraße 32;51.14732146671476;14.994708903054626;154.166958003851;6.731878055078078;3.773426747192178;27.81;24.27
Sohrstraße 3;51.147466897954814;14.991969700611754;53.30462501442427;57.65276189568332;0.9572668356127241;8.97;9.04
Sohrstraße 3;51.147466897954814;14.991969700611754;53.13492750130939;58.22590509445714;-179.52509026449272;5.06;9.21
Sohrstraße 3;51.147466897954814;14.991969700611754;130.206002501993;0.0;0.0;22.87;19.34
Sohrstraße 3;51.147466897954814;14.991969700611754;35.34586999926634;0.0;0.0;6.21;5.25
Sohrstraße 3;51.147466897954814;14.991969700611754;10.855394999203405;0.0;0.0;1.91;1.61
Sohrstraße 7;51.14692945794621;14.991960272516508;50.10871150003837;62.73644737325976;-31.395298221576525;8.63;16.97
Sohrstraße 7;51.14692945794621;14.991960272516508;44.64697549893651;59.173772354493785;-179.4278241525187;4.2;7.87
Sohrstraße 7;51.14692945794621;14.991960272516508;123.87093099751723;0.0;0.0;21.76;18.4
James-von-Moltke-Straße 10;51.14766636155344;14.990604441387848;104.71122499989721;32.40248704148137;4.082351504913233;19.31;18.41
James-von-Moltke-Straße 10;51.14766636155344;14.990604441387848;114.87667499876329;32.0111740720267;-176.87510349646584;15.64;16.45
James-von-Moltke-Straße 13;51.14726112699647;14.990912696898116;71.9288499946509;0.0;0.0;12.63;10.69
James-von-Moltke-Straße 11;51.147535043564254;14.990610751666106;105.03959200613863;33.42872231661539;6.814010923573335;19.24;18.42
James-von-Moltke-Straße 11;51.147535043564254;14.990610751666106;101.54301000075489;33.89540490731681;-173.98913578084162;13.63;17.91
James-von-Moltke-Straße 11;51.147535043564254;14.990610751666106;16.1917100097711;13.865057443423453;5.910446801287874;2.97;2.67
Blumenstraße 44;51.147842137955955;14.992310361708816;277.97069500341917;0.0;0.0;48.83;41.3
Emmerichstraße 77;51.14696139694316;14.994314476784837;56.32504300284404;47.87731118841798;-83.65980825487578;9.73;30.98
Emmerichstraße 77;51.14696139694316;14.994314476784837;56.34952416693746;46.293349790822006;94.94032067419992;7.31;7.3
Emmerichstraße 77;51.14696139694316;14.994314476784837;112.34626299720978;0.0;0.0;19.73;16.69
Emmerichstraße 77;51.14696139694316;14.994314476784837;18.066835874406923;0.0;0.0;3.17;2.68
Blumenstraße 35;51.14733456446262;14.994005135572046;39.699700003076885;6.0096136162332625;-11.192837135870413;7.18;6.23
Emmerichstraße 70;51.14703136078876;14.992760968511094;77.27578850106535;0.0;0.0;13.57;11.48
Blumenstraße 38;51.147772734880704;14.993471662698242;167.18279999464283;0.0;180.0;29.37;24.84
Sohrstraße 3;51.14735318923613;14.992220663961717;42.01440000065168;5.288192914437546;3.5157138117681437;7.54;6.54
Blumenstraße 41;51.14737144014766;14.992940945278669;71.16589999817367;12.198070217643101;93.09333248460848;11.82;10.32
