Building;Roof Area (m²);Slope (°);Orientation (°);Yield (MWh);Max Power (kW)
Heynestraße 7;188.30619499924006;169.99437811865167;-22.64310867065005;5.67;9.95
Heynestraße 7;110.8042449987212;142.98056810743066;-112.63966900437906;4.99;56.06
Heynestraße 7;33.27269499890169;135.023324264712;157.3734986030131;1.32;1.01
Heynestraße 7;110.88246499701094;142.99682674610335;67.34449186025437;4.15;3.22
Brückenstraße 10;591.7928402733866;180.0;0.0;17.35;17.84
Brückenstraße 10;172.67304809914913;0.0;-0.0;30.33;25.65
Brückenstraße 10;53.77288411115565;0.0;0.0;9.45;7.99
Parkstraße 3;46.29798999941762;44.05805818846078;-152.84931402689375;6.0;18.8
Parkstraße 3;40.024485226431175;42.645421444187534;28.22877785673473;6.75;6.86
Parkstraße 3;135.49710199944423;0.0;0.0;23.8;20.13
Parkstraße 3;10.009170001191478;0.0;0.0;1.76;1.49
Am Stadtpark 1;931.1389181205722;0.0;-0.0;163.56;138.33
Am Stadtpark 1;17.449881335379015;0.0;0.0;3.07;2.59
Am Stadtpark 1;50.77589363096729;0.0;0.0;8.92;7.54
Am Stadtpark 1;56.16639782033378;0.0;0.0;9.87;8.34
Am Stadtpark 1;461.87181127713365;0.0;-0.0;81.13;68.62
Am Stadtpark 1;278.78982760441403;0.0;0.0;48.97;41.42
Am Stadtpark 1;65.29297901788551;0.0;0.0;11.47;9.7
Am Stadtpark 1;283.2421276469782;0.0;0.0;49.75;42.08
Am Stadtpark 1;45.8795991905182;0.0;-0.0;8.06;6.82
Am Stadtpark 1;398.6280907513155;0.0;-0.0;70.02;59.22
Am Stadtpark 1;14.204543980751332;0.0;0.0;2.5;2.11
Am Stadtpark 1;219.52250361493986;0.0;0.0;38.56;32.61
Dr.-Kahlbaum-Allee 31;44.613584000137806;167.2465637641975;113.35045987833398;1.35;1.34
Dr.-Kahlbaum-Allee 31;176.58526238094817;12.506011382535684;23.388242501707815;31.8;28.47
Dr.-Kahlbaum-Allee 31;174.0747656981816;13.389874256187943;-154.11460129583762;28.95;29.37
Dr.-Kahlbaum-Allee 31;35.63907515500554;0.0;0.0;6.26;5.29
Dr.-Kahlbaum-Allee 31;40.927825684687;13.19572982067786;-154.1164649778844;6.81;6.82
Dr.-Kahlbaum-Allee 31;131.908182063239;16.103557973092112;113.26492039808215;20.89;17.9
Dr.-Kahlbaum-Allee 31;132.51492197540523;15.190030928422413;-68.32396460476026;24.58;33.88
Dr.-Kahlbaum-Allee 31;102.7077938125259;12.836790326142651;22.061054820386865;18.52;16.61
Dr.-Kahlbaum-Allee 31;105.40180971441656;13.762693970369321;-154.1170289422288;17.49;18.17
Dr.-Kahlbaum-Allee 31;23.563260000138467;157.23154104117023;24.845788843302756;0.76;0.7
Dr.-Kahlbaum-Allee 31;74.96312892824024;26.374691765426874;-66.64780808336224;14.08;27.84
Dr.-Kahlbaum-Allee 31;74.16433794380447;27.995613115090006;116.04212602499457;10.58;9.1
Dr.-Kahlbaum-Allee 31;16.390592636017942;0.0;0.0;2.88;2.44
Dr.-Kahlbaum-Allee 31;69.19304029336692;17.31324817676885;24.867348398918264;12.46;11.36
Am Stadtpark 6;33.77771358678794;55.6850892091189;-103.08722897360131;5.19;19.9
Am Stadtpark 6;39.871576501119584;56.0510145997989;76.68652279465365;5.11;5.54
Am Stadtpark 6;136.53873150451437;0.0;0.0;23.98;20.28
Am Stadtpark 6;47.323819985907534;10.393651025656744;-103.0411714009501;8.44;10.44
Am Stadtpark 6;9.08563767305434;31.21349953799277;76.91153536846384;1.4;1.35
Am Stadtpark 6;9.079191653660486;32.989930757838174;-103.54731772999564;1.56;4.36
Am Stadtpark 6;11.876805026861076;0.0;0.0;2.09;1.76
Brückenstraße 3;121.60737700383271;40.20573450329165;1.684684274658772;22.14;21.5
Brückenstraße 3;122.44273599787677;40.617315943225755;-179.09783389665247;14.93;18.92
Brückenstraße 3;79.34883949408723;5.436879945742322;-91.64205773620697;14.17;12.11
Brückenstraße 3;35.208859993989506;83.78874461036428;-177.6860911469676;2.59;8.34
Furtstraße 3;146.193602506426;13.741092343708804;-104.6093288107773;26.04;41.39
Furtstraße 3;77.61554149373005;13.45322842939669;-15.11962936740653;14.43;12.83
Furtstraße 3;146.24775099541426;13.723772123733593;75.2302655005253;24.64;22.04
Furtstraße 3;16.795850997688678;97.1267784204508;68.99672952509901;1.36;1.68
Furtstraße 3;16.665493499347484;42.781338573863806;-12.735518329474399;3.09;2.96
Furtstraße 3;11.129821498948285;0.0;-0.0;1.96;1.65
Furtstraße 1;301.5398293582411;0.0;-0.0;52.97;44.8
