Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486212.10101693054;5638443.549523592
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486477.3807811252;5638278.371498559
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486379.8223023561;5638328.01444616
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486404.1982920034;5638319.943982394
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486426.92867661314;5638325.308899067
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486414.14988600917;5638320.496187433
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486396.02068631287;5638322.62499378
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486523.66680619086;5638497.003204502
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486552.51359621016;5638403.121606119
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486555.41931805166;5638440.222157374
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486530.6657254228;5638374.1178655345
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486490.17228385346;5638154.464162974
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486518.5156067341;5638013.0178337945
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486136.7228268656;5638374.184090652
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486173.86602133216;5638408.965558082
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486149.31946342275;5638411.222201301
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486315.9120655947;5638319.7743374035
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486558.96046674566;5638214.28520953
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486603.39125296846;5638340.3044964075
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486705.1906075346;5638308.265371561
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486361.9980281838;5638407.842500942
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486666.2791486414;5638269.601393035
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486478.46764812997;5638283.380934493
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486386.31557989866;5638365.629950915
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486395.4714683573;5638582.868800764
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486177.425066335;5638566.235108407
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486523.51148245233;5638561.825321076
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486454.1146075895;5638471.595316534
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486526.0797751312;5638490.372061116
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486495.9799003965;5638463.425959812
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486394.67939400556;5638493.782068551
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486665.7727072481;5638233.977139215
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486613.8312952212;5638515.849528639
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486269.4495611243;5638588.559008119
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486174.4956299009;5638168.536787266
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486174.15215039207;5638265.806473671
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486645.52456978295;5638417.517799478
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486571.0791090581;5637977.244514257
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486200.1954809424;5638550.957613414
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486306.825522381;5638410.429521679
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486211.8098942361;5638443.255876619
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486284.7788762397;5638408.741828885
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486259.1881940836;5638420.0763249835
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486224.1516944658;5638431.390502238
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486200.3461246981;5638436.12277349
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486192.16664492636;5638440.666089983
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486178.8125087478;5638447.52976796
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486161.6290888448;5638448.693733309
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486151.3758942323;5638460.160099555
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486139.143314955;5638456.334012164
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486132.9411550923;5638464.40163215
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486124.19129602204;5638461.200137195
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486112.99627277855;5638471.193810133
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486105.66891664034;5638469.847209235
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486096.4477582014;5638474.104651049
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486295.0147447184;5638412.3196150875
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486272.1102354373;5638411.5553748235
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486242.8683275877;5638431.004891341
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486119.02492492594;5638466.507184885
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486212.392139625;5638443.843170566
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486455.7342549701;5638528.274337189
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486457.8029267007;5638544.899885241
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486431.38941124215;5638553.587039739
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486252.3538015179;5638435.972099672
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486206.6186914419;5638478.666644577
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486251.1028908169;5638486.3787258165
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486196.59870295716;5638480.583714429
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486241.939580992;5638489.754957944
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486176.515486648;5638491.352121653
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486233.5880512478;5638492.382408755
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486124.9021801077;5638507.120821277
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486155.80442575255;5638497.879288206
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486225.15083035565;5638493.758279832
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486217.08122627344;5638497.753329113
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486208.43933882803;5638502.212021533
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486199.2532588623;5638507.340931068
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486192.83870129206;5638507.610971305
Deutschland;;;;30000;HMF;05;0.2;HK;70;1.5;55;-15;486183.09553884977;5638512.522387717
