;waerme_ges_W_1;waerme_ges_W_2;waerme_ges_W_3;waerme_ges_W_4;waerme_ges_W_5;waerme_ges_W_6;waerme_ges_W_7;waerme_ges_W_8;waerme_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-01-01T00:00:00;23334.938130648014;4931.040097439916;214003.29668453083;112353.40581423117;4931.040097439916;9367.437215375812;280883.514535578;9862.080194879833;160502.47251339813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T01:00:00;18143.378286924213;5174.307567653111;166391.81748233302;87357.00656667212;5174.307567653111;9829.569485390914;218392.5164166804;10348.615135306221;124793.86311174977;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T02:00:00;15502.463088213868;4633.524828991028;142172.1450056354;74641.48894325197;4633.524828991028;8802.251059364313;186603.72235812995;9267.049657982056;106629.10875422656;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T03:00:00;19404.15702022421;5148.455101306412;177954.34247405684;93427.42268996846;5148.455101306412;9780.457867845756;233568.5567249211;10296.910202612824;133465.75685554263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T04:00:00;19709.0708904893;7480.262803593856;180750.68901143482;94895.52650976327;7480.262803593856;14210.164748722225;237238.81627440825;14960.525607187712;135563.01675857612;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T05:00:00;21331.934844729072;10720.72112632919;195633.87551629485;102709.31591906592;10720.72112632919;20366.02422003838;256773.28979766485;21441.44225265838;146725.4066372212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T06:00:00;21658.914850342277;10679.187655804984;198632.58923729885;104283.66409424061;10679.187655804984;20287.123588572384;260709.16023560154;21358.37531160997;148974.44192797414;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T07:00:00;23776.260837610622;10398.62482430475;218050.64035705148;114478.29292182889;10398.62482430475;19754.141771934763;286195.7323045723;20797.2496486095;163537.9802677886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T08:00:00;26238.64094123155;10274.02441273214;240632.9783480475;126334.1971244482;10274.02441273214;19517.439877536784;315835.4928111206;20548.04882546428;180474.7337610357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-01-01T09:00:00;26074.147932272754;10058.728463484225;239124.42297919892;125542.19374797992;10058.728463484225;19108.44476748857;313855.4843699498;20117.45692696845;179343.31723439918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
